City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
583,Sao Joao Da Barra,BR,77.09,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
585,Zhob,PK,87.26,clear sky,31.3411,69.4481,ROOM # 105 DUBAI HOTEL ZHOB
586,Ellington,US,76.73,overcast clouds,41.904,-72.4698,Jeff Grous
589,Eresos,GR,76.51,clear sky,39.1667,25.9333,Studio Aspa
597,Kudahuvadhoo,MV,81.28,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
599,Sinnamary,GF,81.19,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
600,Portoferraio,IT,82.02,overcast clouds,42.8115,10.3146,Hotel Villa Ombrosa
601,Haizhou,CN,78.96,overcast clouds,34.5817,119.1289,Shiji Yuan International Hotel
604,Cartagena,CO,83.82,broken clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
605,Lamas,PE,82.87,overcast clouds,-6.4167,-76.5333,Peru Selva Tarapoto Lamas Linda
606,Ambagarh Chauki,IN,75.96,scattered clouds,20.7833,80.7167,Hunesh kunjam home ....
607,Baillif,GP,87.3,overcast clouds,16.0202,-61.7463,Hôtel Saint-Georges
617,Phan Thiet,VN,75.72,overcast clouds,10.9333,108.1,Hotel Saigon-PT
623,Bud,US,88.18,scattered clouds,39.447,-86.1758,Ted McQuinn Trust
627,Buala,SB,79.3,few clouds,-8.145,159.5921,Maringe Lagoon Lodge
628,Suba,PH,83.89,overcast clouds,10.8438,121.0102,Casita Bed and Grill
630,Zhangzhou,CN,87.73,overcast clouds,24.5133,117.6556,Borrman Hotel Zhangzhou Bus Station Branch
633,Kloulklubed,PW,83.89,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
634,Carutapera,BR,81.16,overcast clouds,-1.195,-46.02,Lidera
637,Isangel,VU,75.0,overcast clouds,-19.55,169.2667,Tanna Lodge
643,Lethem,GY,85.05,overcast clouds,3.3803,-59.7968,Savannah Inn
646,Chiang Khong,TH,75.52,overcast clouds,20.2613,100.4046,Chiangkhong Green Inn Resident
647,Manavalakurichi,IN,80.69,overcast clouds,8.1333,77.3,Udaya Boys Hostel
649,Haimen,CN,84.09,broken clouds,23.1935,116.6142,Jinghao Business Hotel
651,Wenzhou,CN,77.59,overcast clouds,27.9994,120.6668,温州喜来登酒店
652,Zhanaozen,KZ,85.6,clear sky,43.3,52.8,K.korabay 28A
654,Tecoanapa,MX,87.22,broken clouds,16.5167,-98.75,Hotel Manglares
656,Eyl,SO,77.2,clear sky,7.9803,49.8164,Amiin Hotel
657,Maunabo,PR,85.69,overcast clouds,18.0072,-65.8993,Maunacaribe
661,Salina,US,89.73,clear sky,38.8403,-97.6114,"Holiday Inn Express & Suites Salina, an IHG Hotel"
